Words,Length,AROU,,,VAL,,,DOM,,,CNC,,,IMAG,,,FAM,,,AOA,,,SIZE,,,GEND,,
staple (mainstay),6,3.100,1.446,30,5.300,1.187,30,4.936,1.190,31,4.037,1.478,27,3.357,1.913,28,3.559,1.850,34,5.500,1.544,30,3.857,1.245,28,3.933,0.964,30
staple (stationery),6,2.706,1.887,34,4.943,0.232,35,5.114,1.237,35,6.571,1.077,35,6.514,0.937,35,6.000,1.265,35,3.886,0.979,35,2.086,1.228,35,4.394,0.694,33
stapler,7,3.000,1.707,35,4.853,0.493,34,5.765,1.733,34,6.743,0.498,35,6.647,0.836,34,6.029,1.276,35,3.543,0.840,35,2.114,1.008,35,4.647,0.967,34
star,4,6.600,1.377,35,7.343,1.308,35,5.382,1.925,34,6.229,1.197,35,6.588,0.943,34,6.324,0.962,34,1.971,0.910,35,4.600,2.207,35,2.588,1.166,34
star (celebrity),4,5.697,2.599,33,5.576,1.985,33,5.485,2.217,33,4.667,2.010,33,5.667,1.407,33,5.844,1.523,32,3.758,1.303,33,4.849,1.828,33,2.606,1.071,33
star (sky),4,5.600,1.915,35,7.235,1.330,34,5.086,1.795,35,6.000,1.393,34,6.743,0.498,35,6.333,1.005,33,2.229,1.267,35,4.429,2.259,35,2.914,1.204,35
stare,5,5.387,1.735,31,3.781,1.340,32,4.656,1.796,32,4.065,1.190,31,4.781,1.218,32,5.556,1.133,27,3.152,0.892,33,3.469,1.323,32,4.067,1.237,30
starfish,8,4.171,2.249,35,5.706,1.226,34,5.697,1.623,33,6.286,1.322,35,6.647,0.723,34,5.000,1.985,33,2.771,1.221,35,2.265,1.171,34,2.912,1.172,34
stark,5,4.267,1.914,30,4.129,1.519,31,4.871,1.601,31,3.655,1.396,29,2.700,1.441,30,3.794,1.875,34,5.968,1.062,31,3.533,1.648,30,4.643,1.076,28
start,5,5.129,1.680,31,6.290,1.300,31,6.548,1.364,31,3.182,1.445,33,3.438,1.619,32,6.407,0.913,27,2.258,0.879,31,4.233,1.407,30,4.074,0.466,27
startle,7,6.281,2.308,32,3.686,1.090,35,3.677,1.727,34,3.727,1.483,33,4.457,1.762,35,4.818,1.641,33,4.571,1.202,35,3.706,1.582,34,3.485,0.925,33
starve,6,4.600,2.610,35,1.857,1.417,35,3.429,2.233,35,5.206,1.641,34,4.686,1.909,35,6.212,1.037,33,3.583,1.382,36,4.324,1.905,34,3.743,1.338,35
starving,8,4.813,2.530,32,2.030,1.446,33,3.000,1.891,33,3.750,1.601,32,4.788,1.903,33,6.182,1.242,33,2.970,0.904,33,5.424,1.393,33,4.031,0.770,32
statue,6,4.029,2.036,34,5.500,1.036,34,5.441,1.479,34,6.559,0.881,34,6.188,1.210,32,5.719,1.644,32,3.088,0.702,34,5.303,1.381,33,4.647,1.370,34
status,6,5.500,1.719,34,5.706,1.226,34,5.971,2.007,34,3.059,1.798,34,3.471,1.595,34,5.344,1.553,32,5.143,1.312,35,5.118,1.022,34,4.969,1.447,32
statute,7,3.484,1.812,31,5.000,1.051,29,5.067,1.861,30,4.464,1.762,28,3.643,2.191,28,3.636,2.158,33,5.867,1.455,30,4.556,1.227,27,4.633,0.983,30
stay,4,3.471,2.018,34,5.667,1.119,33,4.829,1.715,35,3.500,1.632,34,2.943,1.433,35,6.094,0.980,32,2.400,1.047,35,3.912,1.269,34,3.912,0.887,34
steak,5,5.273,2.609,33,6.091,2.065,33,6.065,1.564,31,6.633,0.547,30,6.552,0.723,29,5.621,1.298,29,4.094,1.155,32,3.406,1.558,32,5.931,0.785,29
steal,5,5.706,2.230,34,2.235,0.909,34,5.970,2.329,33,4.029,1.706,34,4.546,1.616,33,5.818,1.466,33,3.265,1.267,34,4.471,1.613,34,4.912,0.742,34
stealth,7,5.313,1.776,32,5.188,1.509,32,6.000,1.826,33,2.839,1.394,31,3.781,1.691,32,4.394,1.890,33,5.500,1.144,34,3.677,1.429,34,4.563,0.998,32
steam,5,4.419,1.810,31,5.281,0.800,32,5.031,1.380,32,5.424,1.518,33,5.594,1.271,32,5.633,1.224,30,3.438,0.998,32,3.594,1.497,32,4.321,0.928,28
steel,5,3.727,2.164,33,4.912,1.358,34,5.455,1.760,33,6.364,1.010,33,5.794,1.346,34,5.455,1.597,33,4.294,1.340,34,4.424,1.577,33,5.303,1.218,33
steep,5,4.908,1.975,65,3.746,1.151,67,4.262,1.659,61,4.493,1.520,67,5.354,1.386,65,4.864,1.578,59,3.833,1.321,66,4.742,1.385,66,4.617,0.798,60
steer,5,4.303,1.850,33,5.121,1.008,33,5.706,2.022,34,4.177,1.617,34,4.382,1.456,34,5.063,1.298,32,3.714,1.322,35,3.324,1.254,34,4.813,1.102,32
steer (cows),5,3.172,2.052,29,5.333,0.830,30,5.407,1.790,27,5.138,1.613,29,5.214,1.820,28,2.546,1.811,33,5.607,1.611,28,4.035,1.450,29,4.857,1.245,28
steer (direct),5,4.094,1.756,32,5.563,1.273,32,6.645,2.056,31,3.909,1.602,33,3.576,1.843,33,5.688,1.261,32,4.097,1.279,31,3.967,1.224,30,5.000,0.935,32
stem,4,3.636,2.042,33,5.353,0.904,34,5.343,1.218,35,5.970,1.141,33,6.029,1.043,34,5.063,1.540,32,3.771,1.289,35,2.829,1.612,35,3.471,0.776,34
stem (origin),4,3.844,2.017,32,5.735,1.146,34,4.710,1.169,31,3.613,1.640,31,2.531,1.369,32,3.849,1.811,33,5.629,1.289,35,4.118,1.623,34,3.941,0.938,34
stem (plant),4,3.000,2.151,35,5.273,1.188,33,5.294,1.486,34,6.091,1.026,33,6.152,1.184,33,4.971,1.917,34,4.000,1.590,34,3.063,1.298,32,3.394,0.919,33
stench,6,4.250,2.264,32,2.606,1.254,33,4.387,1.407,31,4.125,1.635,32,4.344,1.725,32,4.656,1.779,32,4.469,1.145,32,4.742,1.458,31,4.970,1.193,33
stereotype,10,4.343,2.216,35,2.912,1.483,34,3.618,2.044,34,3.200,1.687,35,4.114,2.122,35,5.824,1.070,34,5.714,0.913,35,4.886,1.545,35,3.743,1.130,35
stern,5,4.265,2.105,34,3.333,1.064,33,5.242,2.089,33,3.000,1.391,31,4.029,1.682,35,4.667,1.770,33,4.714,1.300,35,4.394,1.301,33,4.849,1.395,33
stern (attitude),5,4.938,2.045,32,3.394,1.841,33,5.531,2.692,32,3.000,1.595,33,3.697,1.867,33,5.242,1.371,33,5.000,1.498,33,4.000,1.436,33,4.771,1.640,35
stern (ship),5,3.546,2.105,33,5.000,0.985,33,5.182,1.833,33,6.147,1.191,34,5.912,1.522,34,3.265,1.703,34,5.394,1.229,33,5.000,1.985,33,5.382,1.261,34
steroids,8,5.097,2.388,31,3.063,1.478,32,5.161,2.172,31,5.936,1.045,31,4.750,1.620,32,4.786,1.698,28,6.031,1.015,32,3.813,2.022,32,5.931,0.828,29
stethoscope,11,4.844,1.906,32,5.313,1.424,32,5.290,2.158,31,6.767,0.559,30,6.321,1.071,28,4.400,1.724,30,5.097,1.552,31,2.900,1.300,30,4.310,0.914,29
steward,7,3.412,1.768,34,5.400,1.314,35,4.364,2.101,33,6.286,0.973,35,5.171,1.502,35,4.546,1.971,33,5.706,0.925,34,3.909,1.485,33,4.600,1.398,35
stick,5,2.824,1.543,34,4.788,0.913,33,5.313,1.379,32,6.382,1.085,34,6.061,1.476,33,5.765,1.373,34,2.353,1.054,34,2.606,1.278,33,4.656,0.988,32
stick (glue),5,3.400,1.760,35,5.059,1.136,34,5.029,1.665,35,6.029,1.361,34,5.912,1.401,34,5.441,1.376,34,2.500,0.653,34,2.667,1.407,33,4.147,0.879,34
stick (thin piece of wood),5,2.970,1.566,33,4.914,0.280,35,4.686,1.526,35,6.371,1.017,35,6.400,0.991,35,5.618,1.681,34,1.886,0.574,35,2.324,1.104,34,4.457,0.805,35
sticky,6,4.618,2.058,34,3.471,1.064,34,4.543,1.480,35,4.971,1.276,35,5.486,1.574,35,5.471,1.667,34,2.457,0.966,35,3.029,1.124,34,4.314,0.785,35
stiff,5,4.853,1.912,34,4.235,1.496,34,4.765,1.516,34,4.121,1.754,33,4.156,1.660,32,4.903,1.422,31,4.029,0.954,34,3.313,1.074,32,5.194,0.997,31
sting,5,5.200,2.459,35,2.429,0.838,35,4.029,1.797,35,5.257,1.380,35,5.686,1.063,35,5.063,1.657,32,2.771,0.959,35,3.257,1.794,35,4.441,1.034,34
stingy,6,4.212,2.447,33,2.636,1.344,33,3.625,1.516,32,3.909,1.602,33,3.875,1.763,32,5.161,1.608,31,3.970,1.507,33,3.438,1.713,32,4.667,1.271,33
stink,5,4.743,2.234,35,2.529,1.169,34,4.829,1.576,35,3.971,1.682,35,3.514,1.795,35,5.324,1.585,34,2.543,0.936,35,3.943,1.330,35,5.457,0.905,35
stir,4,4.455,1.971,33,5.152,0.989,33,5.485,1.579,33,4.882,1.278,34,5.441,1.265,34,5.879,1.008,33,3.000,1.515,34,3.061,1.013,33,3.441,1.217,34
stir (cook),4,4.121,1.737,33,5.758,1.016,33,5.438,1.435,32,5.333,1.491,30,5.515,1.559,33,5.909,0.996,33,3.343,1.218,35,2.939,1.205,33,2.912,1.147,34
stir (make trouble),4,5.000,2.309,33,2.457,1.380,35,6.333,2.055,33,3.429,1.536,35,3.400,1.744,35,5.121,1.552,33,4.765,1.214,34,4.706,1.151,34,3.771,1.640,35
stir (move),4,4.743,2.195,35,5.200,1.037,35,6.314,1.939,35,4.265,1.559,34,5.371,1.436,35,5.824,1.855,34,3.889,1.629,36,3.324,1.387,34,3.722,0.989,36
stock,5,3.438,1.853,32,5.406,1.247,32,4.781,1.672,32,4.531,1.520,32,4.030,1.899,33,5.200,1.536,30,4.273,1.420,33,4.091,1.379,33,4.807,1.060,31
stock (finance),5,3.206,2.139,34,4.735,1.313,34,4.156,2.002,32,4.121,1.887,33,4.030,1.784,33,5.030,1.660,33,6.000,1.138,34,4.909,1.832,33,5.364,1.010,33
stock (inventory),5,3.294,1.690,34,5.177,1.150,34,5.588,1.555,34,5.147,1.611,34,4.588,1.751,34,4.313,1.648,32,5.657,1.145,35,4.735,1.461,34,4.818,1.140,33
stock (soup),5,3.606,1.808,33,5.969,1.075,32,5.581,1.071,31,6.235,0.877,34,6.226,1.007,31,5.563,1.273,32,4.559,1.241,34,2.313,1.236,32,3.576,1.129,33
stolen,6,4.771,2.030,35,2.177,1.070,34,4.000,2.236,34,3.882,1.778,34,3.743,1.962,35,5.406,1.343,32,3.086,1.180,35,4.515,1.438,33,4.765,0.807,34
stomach,7,4.031,1.828,32,5.059,0.938,34,4.882,1.529,34,6.324,0.898,34,6.182,0.833,33,6.313,1.014,32,2.765,0.909,34,3.441,1.376,34,4.088,0.951,34
stone,5,3.344,1.428,32,5.063,0.966,32,5.290,1.083,31,6.400,1.114,30,6.500,0.885,30,5.862,1.279,29,2.606,0.983,33,2.879,1.805,33,4.929,0.961,28
stone (rock),5,2.857,1.915,35,4.853,0.772,34,5.629,1.569,35,6.514,1.025,35,6.514,1.025,35,6.343,1.068,35,1.971,0.971,35,2.914,1.663,35,5.143,0.798,35
stone (weight),5,4.030,2.007,33,4.212,1.552,33,5.156,1.603,32,5.818,1.381,33,3.667,1.853,33,5.813,1.285,32,4.606,1.669,33,4.455,1.597,33,4.412,1.263,34
stool,5,2.343,1.603,35,4.706,1.072,34,5.375,1.139,32,6.559,0.735,34,6.412,0.974,34,4.941,1.679,34,3.029,1.485,34,2.829,1.207,35,4.457,0.840,35
stool (chair),5,2.939,1.669,33,5.000,0.696,33,4.912,1.597,34,6.677,0.629,34,6.147,1.353,34,5.688,1.424,32,2.743,1.441,35,2.943,1.308,35,4.471,0.776,34
stool (faeces),5,2.400,1.808,35,2.800,1.527,35,4.265,1.975,34,6.118,0.993,34,5.912,1.269,34,4.143,2.193,35,5.677,1.761,34,2.829,1.483,35,5.029,1.082,35
stop,4,4.355,2.133,31,3.452,1.291,31,4.333,2.844,30,3.788,1.771,33,4.000,1.741,31,6.276,1.229,29,1.849,0.821,33,4.219,1.763,32,4.531,0.968,32
storage,7,2.943,1.804,35,5.088,1.039,34,5.571,1.379,35,5.382,1.495,34,5.559,1.333,34,5.686,1.260,35,4.235,1.165,34,4.771,1.416,35,4.412,1.004,34
store,5,3.667,1.700,33,5.344,0.775,32,5.300,0.586,30,5.516,1.215,31,5.097,1.353,31,5.593,1.421,27,3.355,1.233,31,4.774,1.237,31,3.897,0.712,29
store (put away for future),5,3.206,1.586,34,5.971,1.014,34,5.697,2.007,33,4.667,1.363,33,3.750,1.620,32,5.606,1.229,33,3.794,1.231,34,3.943,1.548,35,3.941,1.162,34
store (shop),5,4.303,1.714,33,5.394,0.814,33,4.971,1.505,34,6.324,1.181,34,6.059,1.136,34,5.382,1.681,34,3.235,1.516,34,4.364,1.432,33,3.500,1.334,34
storeroom,9,2.688,1.740,32,4.969,0.770,32,4.839,1.167,31,6.258,1.015,31,6.188,0.882,32,5.323,1.654,31,4.645,1.404,31,4.258,1.502,31,4.485,0.925,33
storm,5,6.576,1.478,33,3.543,1.762,35,4.088,2.683,34,5.457,1.441,35,6.429,0.871,35,5.733,1.124,30,3.086,0.996,35,6.114,1.260,35,4.571,1.498,35
story,5,5.484,1.982,31,6.710,1.325,31,6.031,1.425,32,3.781,1.745,32,3.807,1.891,31,6.103,1.062,29,2.063,1.248,32,4.581,1.454,31,3.893,0.900,28
stout,5,3.000,1.566,31,3.938,0.998,32,4.515,1.282,33,4.594,1.476,32,4.719,1.736,32,3.625,1.728,32,4.971,1.361,34,3.758,1.457,33,5.061,1.229,33
stove,5,3.636,1.755,33,5.588,1.240,34,5.706,1.758,34,6.406,1.195,32,6.618,0.971,34,5.367,1.816,30,3.706,1.383,34,3.625,1.576,32,3.667,1.491,33
strain,6,4.424,1.970,33,2.824,1.042,34,3.618,1.910,34,2.941,1.371,34,3.242,1.724,33,4.906,1.528,32,4.971,1.248,34,3.824,1.445,34,4.529,1.064,34
strand,6,3.382,1.663,34,4.941,0.765,34,4.257,1.360,35,4.882,1.623,34,4.559,1.769,34,4.500,1.649,34,4.294,1.016,34,2.594,1.637,32,3.235,1.031,34
strange,7,5.303,2.067,33,3.971,1.317,34,4.353,1.234,34,2.412,1.593,34,3.382,1.879,34,6.156,1.176,32,3.088,0.887,34,4.563,1.171,32,4.147,1.088,34
stranger,8,5.485,1.994,66,3.757,1.314,70,4.246,1.714,69,4.710,1.703,69,4.313,1.972,67,5.774,1.349,62,2.714,1.110,70,4.493,1.258,69,4.942,0.931,69
strangle,8,5.514,2.347,35,1.735,0.917,34,4.242,2.882,33,5.400,1.335,35,6.088,0.981,34,4.938,1.749,32,4.086,1.228,35,4.914,1.556,35,5.441,1.288,34
strap,5,4.200,2.054,35,4.714,0.740,35,4.600,1.824,35,6.171,0.941,35,6.029,1.082,35,5.333,1.511,33,3.171,1.230,35,2.824,1.339,34,4.314,1.237,35
straw,5,2.875,1.833,32,5.030,0.870,33,4.849,1.351,33,6.333,1.005,33,6.303,0.969,33,5.242,1.907,33,2.333,0.943,33,2.125,1.386,32,3.909,0.996,33
straw (drinking),5,3.886,2.352,35,5.500,0.738,34,4.971,1.444,35,6.657,0.754,35,6.629,0.959,35,6.057,1.264,35,2.571,1.178,35,1.706,0.956,34,3.571,0.904,35
straw (hay),5,2.943,1.739,35,5.147,0.974,34,5.182,1.882,33,5.941,1.608,34,6.229,1.123,35,5.091,1.798,33,2.971,1.071,34,2.618,1.112,34,4.088,1.197,34
strawberry,10,5.412,1.896,34,6.419,1.519,31,5.548,1.240,31,6.516,0.911,31,6.875,0.415,32,6.438,0.788,32,2.412,1.088,34,2.794,1.694,34,2.912,1.039,34
stray,5,4.032,1.470,31,3.688,0.950,32,4.636,1.685,33,3.281,1.305,32,3.515,1.540,33,4.207,1.562,29,3.688,1.074,32,3.394,0.776,33,4.222,0.629,27
streak,6,4.647,2.140,34,4.941,1.027,34,5.714,1.161,35,3.882,1.430,34,4.571,1.745,35,4.455,1.971,33,4.200,1.116,35,3.471,1.289,34,4.677,0.962,34
stream,6,4.382,1.910,34,6.114,1.410,35,5.000,1.863,34,6.057,1.040,35,6.471,0.915,34,5.621,1.710,29,3.167,1.302,36,4.278,1.592,36,3.528,1.118,36
street,6,3.656,1.573,32,5.313,0.726,32,5.152,1.077,33,6.394,0.814,33,6.000,1.346,32,6.808,0.482,26,2.303,0.577,33,4.121,1.683,33,4.313,0.846,32
strength,8,6.735,1.501,34,7.152,1.258,33,7.576,1.280,33,4.212,1.629,33,4.758,1.706,33,6.281,1.038,32,3.353,1.054,34,6.061,0.851,33,5.853,1.088,34
stress,6,5.441,2.851,34,1.912,1.147,34,3.059,1.846,34,3.371,1.806,35,4.531,2.015,32,6.182,1.424,33,5.257,1.380,35,4.971,1.682,35,4.147,1.375,34
stressful,9,4.333,2.878,33,2.121,1.066,33,3.438,2.358,32,3.152,1.708,33,4.242,1.923,33,6.548,0.755,31,4.971,1.124,34,5.121,1.225,33,3.879,1.225,33
stretch,7,4.871,1.621,31,5.719,1.328,32,5.323,1.329,31,4.063,1.519,32,4.750,1.500,32,6.250,0.785,28,3.188,1.310,32,4.161,1.322,31,3.821,0.928,28
strict,6,5.097,1.692,31,3.469,1.581,32,3.875,2.484,32,2.813,1.184,32,3.281,1.441,32,5.346,1.543,26,3.531,0.901,32,3.968,1.231,31,4.250,1.682,28
strictly,8,4.206,1.922,34,3.727,1.399,33,4.000,2.128,34,3.429,1.695,35,2.743,1.421,35,5.091,1.443,33,3.800,1.410,35,4.000,1.394,35,3.735,1.038,34
stride,6,4.941,2.100,34,5.971,1.224,34,6.824,1.445,34,4.235,1.238,34,4.500,1.266,34,5.303,1.193,33,5.029,1.382,34,4.546,1.416,33,5.059,0.968,34
strife,6,4.903,1.633,31,3.500,1.753,34,3.871,1.661,31,3.167,1.392,30,3.394,1.669,33,3.606,1.594,33,5.844,1.149,32,4.903,1.353,31,4.412,0.974,34
strike,6,5.061,2.449,33,3.424,1.759,33,5.697,2.096,33,4.294,1.404,34,5.147,1.375,34,5.455,1.578,33,4.455,1.157,33,5.029,1.071,34,5.333,1.198,33
strike (hit),6,5.265,2.832,34,2.829,1.612,35,5.882,2.709,34,5.088,1.380,34,5.706,1.525,34,4.546,1.742,33,4.500,1.266,34,4.514,1.519,35,5.794,0.900,34
strike (picket),6,4.677,2.234,31,4.375,1.341,32,5.697,1.834,33,4.849,1.617,33,4.515,1.654,33,4.059,2.100,34,5.455,1.233,33,4.235,1.516,34,4.559,1.006,34
string,6,3.118,2.040,34,5.229,0.590,35,4.914,1.680,35,5.882,1.323,34,6.143,1.312,35,6.091,1.138,33,2.600,0.901,35,2.242,1.326,33,4.029,1.108,35
strip,5,5.606,2.386,33,4.807,1.306,31,5.161,1.526,31,4.250,1.732,32,4.849,1.395,33,5.129,1.519,31,4.424,1.349,33,3.032,1.379,31,3.531,1.392,32
strip (naked),5,7.029,2.104,35,5.429,1.661,35,5.686,2.765,35,5.143,1.791,35,6.235,1.113,34,5.857,1.150,35,5.086,1.339,35,4.171,1.298,35,3.714,1.541,35
strip (narrow piece),5,3.500,1.914,34,4.912,0.702,34,4.529,1.311,34,5.353,1.303,34,4.758,1.615,33,4.667,1.717,33,3.824,1.504,34,2.281,1.256,32,4.235,1.086,34
strip (street),5,4.118,2.259,34,4.824,0.984,34,4.849,1.258,33,5.546,1.519,33,4.606,1.705,33,3.588,2.102,34,5.242,1.688,33,4.400,1.428,30,4.273,1.081,33
stripper,8,6.250,2.236,32,3.875,1.364,32,4.781,2.088,32,6.219,0.992,32,6.344,0.775,32,5.548,1.663,31,5.788,1.225,33,4.323,1.400,31,3.212,1.788,33
stroke,6,4.629,2.598,35,3.800,1.983,35,4.143,2.113,35,4.914,1.228,35,5.143,1.552,35,4.818,1.623,33,4.114,1.652,35,3.771,1.375,35,3.771,1.267,35
stroke (brain),6,5.529,2.821,34,2.000,1.680,34,2.636,2.042,33,5.750,1.500,32,4.147,1.833,34,4.903,1.907,31,5.686,1.141,35,5.706,1.544,34,4.182,0.833,33
stroke (pet),6,5.194,2.086,31,6.794,1.255,34,6.088,2.306,34,4.938,1.499,32,5.758,1.615,33,5.871,1.453,31,2.152,0.957,33,3.125,1.317,32,2.970,1.058,33
stroll,6,4.559,1.897,34,6.455,1.183,33,5.971,1.599,34,4.294,1.340,34,4.971,1.361,34,4.788,1.533,33,4.091,0.996,33,3.606,1.071,33,3.206,1.106,34
strong,6,6.706,1.978,34,7.571,1.379,35,7.618,1.783,34,3.943,1.655,35,5.086,1.519,35,6.515,0.783,33,2.485,0.892,33,5.882,1.207,34,5.800,1.305,35
struggle,8,4.576,2.450,33,2.853,1.458,34,3.000,1.627,34,3.735,1.668,34,4.147,1.784,34,5.576,1.326,33,4.324,1.254,34,4.849,1.184,33,4.382,1.261,34
stubble,7,4.257,2.143,35,5.344,0.988,32,5.743,1.518,35,6.121,1.493,33,6.344,0.988,32,5.485,1.635,33,5.235,1.330,34,2.824,1.485,34,6.188,1.014,32
stuck,5,4.394,2.159,33,3.382,1.058,34,3.457,1.826,35,3.429,1.517,35,4.088,1.579,34,5.686,1.368,35,2.571,1.050,35,3.794,1.106,34,4.314,0.622,35
student,7,5.177,1.917,34,6.086,1.519,35,5.857,1.807,35,6.286,1.030,35,6.229,1.071,35,6.853,0.429,34,4.429,1.154,35,4.171,1.028,35,3.943,0.826,35
study,5,3.743,2.260,35,5.429,2.046,35,5.206,2.386,34,4.486,1.574,35,5.257,1.317,35,6.559,0.735,34,4.143,1.222,35,4.765,1.415,34,4.029,1.159,35
stumble,7,4.839,1.969,31,3.875,1.293,32,3.419,1.185,31,3.807,1.119,31,4.625,1.536,32,4.321,1.537,28,4.219,1.243,32,3.063,1.088,32,4.172,0.746,29
stupid,6,4.152,2.217,33,2.250,1.173,32,3.455,1.653,33,3.394,1.774,33,3.242,1.615,33,6.194,1.378,31,2.758,1.045,33,4.273,1.582,33,4.273,0.862,33
style,5,5.914,1.888,35,6.441,1.117,34,5.943,1.897,35,3.029,1.781,35,4.257,1.499,35,6.000,1.394,35,4.286,0.973,35,4.457,1.155,35,2.382,1.058,34
stylish,7,5.743,1.947,35,7.086,1.422,35,6.029,2.189,34,3.171,1.682,35,4.200,1.802,35,5.333,1.752,33,5.118,1.367,34,4.735,1.120,34,2.206,0.932,34
subdue,6,3.742,1.900,31,4.061,1.594,33,3.813,2.157,32,3.000,1.155,30,2.613,1.336,31,4.100,1.832,30,6.086,1.228,35,3.758,1.558,33,4.121,1.037,33
subject,7,3.546,1.760,33,4.971,0.774,35,4.697,1.425,33,3.912,1.616,34,3.543,1.976,35,5.688,1.667,32,3.800,0.888,35,4.531,1.172,32,4.000,0.728,34
subjective,10,3.824,2.007,34,4.943,1.068,35,4.714,1.965,35,2.314,1.489,35,2.314,1.508,35,4.656,2.010,32,6.222,1.083,36,4.059,1.282,34,3.417,1.278,36
sublime,7,5.233,2.216,30,6.710,2.188,31,5.613,1.946,31,2.484,1.215,31,2.250,0.987,28,3.939,1.999,33,5.938,1.456,32,4.400,1.685,30,3.300,1.038,30
submarine,9,4.500,2.118,34,5.121,1.037,33,4.594,1.711,32,6.655,0.708,29,6.588,0.844,34,3.926,2.017,27,4.000,1.057,34,5.485,1.480,33,5.438,1.171,32
substance,9,4.500,2.033,34,5.303,1.623,33,5.500,1.479,32,4.697,1.834,33,3.303,1.714,33,5.818,1.313,33,5.324,1.156,34,4.000,1.670,33,4.029,0.923,34
substantial,11,5.000,2.000,34,6.514,1.442,35,6.364,1.473,33,3.543,1.696,35,3.235,1.664,34,5.121,1.451,33,6.000,0.956,35,5.758,1.207,33,4.382,0.768,34
substitute,10,3.750,1.714,32,4.394,1.369,33,4.455,1.559,33,3.656,1.593,32,3.818,1.800,33,5.182,1.585,33,5.000,1.128,33,3.742,0.915,31,4.152,0.989,33
subtle,6,3.879,1.935,33,5.818,0.936,33,4.882,1.529,34,2.529,0.977,34,2.412,1.396,34,5.200,1.410,35,5.441,1.006,34,2.882,1.586,34,3.182,0.833,33
subtract,8,3.182,1.623,33,4.147,1.061,34,4.647,1.432,34,3.235,1.330,34,3.758,1.810,33,5.324,1.604,34,3.324,1.049,34,3.059,1.305,34,4.412,0.878,34
suburb,6,2.938,1.413,32,4.788,1.430,33,4.250,1.768,32,5.091,1.215,33,5.000,1.459,31,4.483,1.567,29,5.364,0.948,33,4.879,1.343,33,3.333,1.106,30
suburbs,7,3.200,1.887,30,4.567,1.476,30,4.250,1.479,32,4.875,1.409,32,5.387,1.183,31,4.357,1.737,28,5.344,1.215,32,4.697,1.243,33,3.667,0.869,30
success,7,6.800,1.600,35,8.371,0.929,35,7.588,1.375,34,3.257,1.537,35,4.143,1.693,35,6.303,0.904,33,4.242,1.102,33,6.057,0.893,35,3.829,1.253,35
successful,10,6.853,1.942,34,8.206,0.963,34,7.091,1.929,33,2.677,1.300,34,4.500,1.702,34,6.258,0.879,31,4.588,1.353,34,5.471,0.977,34,3.818,1.290,33
suffer,6,5.182,3.099,33,1.743,1.499,35,2.941,2.100,34,2.657,1.433,35,4.382,1.879,34,4.970,1.784,33,4.382,1.351,34,5.265,1.481,34,4.177,1.248,34
suffering,9,4.121,2.422,33,1.563,1.029,32,3.235,1.956,34,3.086,1.795,35,4.471,1.538,34,5.438,1.435,32,4.543,1.179,35,5.257,1.499,35,3.758,1.016,33
suffix,6,2.938,1.580,32,4.677,0.963,31,4.900,1.599,30,3.467,1.928,30,3.273,1.830,33,3.559,2.017,34,6.094,1.308,32,2.645,1.179,31,4.000,0.672,31
suffocate,9,4.548,2.971,31,1.533,0.763,30,2.969,2.084,32,4.333,1.804,33,4.667,1.886,30,4.833,1.881,30,5.031,1.425,32,4.182,1.731,33,4.563,1.029,32
sugar,5,5.515,2.258,33,6.200,1.661,30,5.097,1.672,31,6.367,0.912,30,6.250,1.436,32,6.556,0.737,27,2.419,0.794,31,2.125,1.293,32,3.000,1.118,32
suicidal,8,3.600,2.851,35,1.343,0.924,35,4.057,2.868,35,2.727,1.355,33,3.886,1.997,35,5.171,1.905,35,6.029,0.810,35,5.765,1.165,34,4.429,0.965,35
suicide,7,5.031,3.015,32,1.382,1.213,34,4.250,2.840,32,4.667,1.995,33,4.606,2.117,33,5.871,1.263,31,5.324,1.206,34,5.333,2.113,33,4.088,1.245,34
suit,4,4.273,2.273,33,5.719,1.375,32,5.500,1.959,34,6.000,1.393,34,6.242,1.256,33,5.697,1.425,33,3.412,1.061,34,3.636,1.322,33,5.600,1.314,35
suit (legal),4,3.968,2.163,31,3.710,1.197,31,4.800,1.939,30,4.667,1.513,30,3.839,1.919,31,4.452,2.045,31,5.813,1.379,32,4.733,1.436,30,4.742,0.949,31
suit (playing cards),4,3.882,2.069,34,5.441,0.774,34,5.212,1.472,33,5.853,1.417,34,6.121,1.320,33,4.857,1.624,35,4.500,1.289,34,2.515,1.258,33,4.941,1.027,34
suit (special clothes),4,5.219,2.381,32,6.618,1.306,34,6.515,1.725,33,6.531,0.706,32,6.500,1.064,34,5.452,1.643,31,3.743,1.078,35,4.061,1.455,33,6.121,1.008,33
suit (to be fit for),4,4.281,2.168,32,6.364,1.322,33,5.656,1.914,32,3.121,1.822,33,3.727,2.019,33,5.677,1.490,34,4.735,1.441,34,3.625,1.293,32,4.629,1.605,35
suitcase,8,3.455,1.760,33,5.485,0.989,33,5.706,1.340,34,6.735,0.609,34,6.735,0.609,34,5.939,1.153,33,3.177,1.150,34,3.875,1.691,32,4.529,1.377,34
sulk,4,3.559,1.818,34,3.059,1.136,34,3.647,1.780,34,3.441,1.612,34,4.200,1.817,35,4.824,1.671,34,3.206,1.255,34,3.471,1.613,34,4.200,1.430,35
