CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	SPANISH_HAPPINESS_MEAN	SPANISH_DISGUST_MEAN	SPANISH_ANGER_MEAN	SPANISH_FEAR_MEAN	SPANISH_SADNESS_MEAN	SPANISH_POS	LINE_IN_SOURCE
2108	RAINING OR RAIN	llover	2.7500	1.1000	1.3500	1.4000	2.4000	VERB	6118
211	CAST	fundir	2.2000	1.3500	1.1500	1.7000	1.2000	VERB	4663
213	FIN	aleta	1.8000	1.4500	1.1000	1.6500	1.1000	NOUN	383
2148	PICK	coger	2.1000	1.1500	1.2000	1.5000	1.2000	VERB	2056
2235	CLEAN (SOMETHING)	limpiar	1.7000	1.9000	1.9500	1.4500	1.6000	VERB	6070
224	MORTAR	mortero	1.5000	1.0500	1.7200	1.7500	1.5300	NOUN	6682
2246	BELL	campana	1.9500	1.1500	1.3000	1.2500	1.2500	NOUN	1560
2252	PATH	camino	2.7000	1.1000	1.2500	1.7000	1.3000	NOUN	1556
2260	FEMALE (OF PERSON)	hembra	2.3000	1.1500	1.2500	1.0500	1.0500	NOUN	4971
23	RYE	centeno	1.8300	1.4500	1.0500	1.1600	1.1700	ADJECTIVE	1810
230	SWEEP	barrer	1.5500	1.9500	1.6500	1.3000	1.5000	VERB	1175
231	SHAVE	afeitar	1.8500	1.5000	1.2500	1.2500	1.4000	VERB	248
237	STEPFATHER	padrastro	1.3500	1.5500	1.7000	2.1500	1.8500	NOUN	7192
