CONCEPTICON_GLOSS	CONCEPTICON_ID	BABELNET_ID	BABELNET_GLOSS	BABELNET_DEFINITION
GRASP	2021	00089017v	hold on, grasp	Hold firmly
ADMIT	2022	00082267v	acknowledge, admit, concede	Declare to be true or admit the existence or reality or truth of
CROWD	2023	00024065n	crowd, army, movement	A large number of things or people considered together
PLOT	2024	00037187n	game, plot, secret plan	A secret scheme to do something (especially something underhand or illegal)
PEA	2025	00061139n	pea	The fruit or seed of a pea plant
SOYA	2027	00040796n	soybean, soya bean, Glycine max, soya	"Erect bushy hairy annual herb having trifoliate leaves and purple to pink flowers; extensively cultivated for food and forage and soil improvement but especially for its nutritious oil-rich seeds; native to Asia"
TUG	2029	00095214v	tug	Pull hard
DRAG	2030	00087212v	drag	Pull, as against a resistance
DELIVER	2033	00086531v	deliver	Bring to a destination, make a delivery
POND	2035	00063508n	pond, pool	A small lake
JANUARY	2036	00047960n	January, Jan	"The first month of the year; begins 10 days after the winter solstice"
FEBRUARY	2037	00033882n	February, Feb	The month following January and preceding March
DRAGON	2038	00028582n	dragon, firedrake, Dragons	"A creature of Teutonic mythology; usually represented as breathing fire and having a reptilian body and sometimes wings"
MAGPIE	2039	00422170n	Magpie (butterfly)	"Protoploea apatela, with the common name ""Magpie,"" is a species of nymphalid butterfly in the Danainae subfamily."
BUCKWHEAT	2040	00013618n	buckwheat, Fagopyrum esculentum, Polygonum fagopyrum	"A member of the genus Fagopyrum; annual Asian plant with clusters of small pinkish white flowers and small edible triangular seeds which are used whole or ground into flour"
WALNUT	2042	00080415n	walnut, common walnut, English walnut	Nut of any of various walnut trees having a wrinkled two-lobed seed with a hard shell
PEACH	2043	00061165n	peach, peach tree, Prunus persica	Cultivated in temperate regions
PERSIMMON	2044	00061713n	persimmon	"Orange fruit resembling a plum; edible when fully ripe"
COLUMN	2045	00020826n	column, pillar	A vertical cylindrical structure standing alone and not supporting anything (such as a monument)
QUILT	2048	00020917n	quilt, comforter, comfort	Bedding made of two layers of cloth filled with stuffing and stitched together
CONGEE	2049	00021803n	congee, jook, rice congee	A Chinese rice gruel eaten for breakfast
DUSTPAN	2051	00029211n	dustpan	A short-handled receptacle into which dust can be swept
WOK	2056	00081467n	wok	"Pan with a convex bottom; used for frying in Chinese cooking"
STORY	2060	00056857n	narrative, story, narration	"A message that tells the particulars of an act or occurrence or course of events; presented in writing or drama or cinema or as a radio or television program"
BUDDHA	2061	00640470n	Gautama Buddha in world religions, Buddha (other religions)	Gautama Buddha, the founder of Buddhism, is also venerated as a manifestation of God in Hinduism, Ahmadiyya Muslim Community and the Bahá' í faith.
INTEREST	2062	00007020n	attention, attending, Interest (attention)	The process whereby a person concentrates on some features of the environment to the (relative) exclusion of others
DILIGENT	2077	00101382a	diligent, persevering	Quietly and steadily persevering especially in detail or exactness
MY	2090	13980346n	My	Section of Ferrières, Belgium
YOUR (PLURAL)	2274	13606052a	your	Of or belonging to you (singular).
AFTERWARDS	2093	13601833v	afterward, afterwards	Later or after something else has happened or happens.
MAGICIAN	2137	00052696n	magician, wizard, necromancer	One who practices magic or sorcery
PICK	2148	00091594v	pluck, pick, plunk	Pull lightly but sharply with a plucking motion
MATTER	2150	00047690n	issue, matter, subject	Some situation or event that is thought about
COARSE	2151	00099928a	coarse, harsh	Of textures that are rough to the touch or substances consisting of relatively large particles
REJOICE	2192	00089996v	joy, rejoice	Feel happiness or joy
CARP	2193	00084548v	carp, cavil, chicane	Raise trivial objections
SNOUT	2200	00068315n	rostrum, snout	Beaklike projection of the anterior part of the head of certain insects such as e.g. weevils
RABID	2203	00109374a	rabid	Of or infected by rabies
PEAK	2205	00000942n	acme, height, pinnacle, peak	"The highest level or degree attainable; the highest stage of development"
RABIES	2206	00045408n	rabies, lyssa, hydrophobia	"An acute viral disease of the nervous system of warm-blooded animals (usually transmitted by the bite of a rabid animal); rabies is fatal if the virus reaches the brain"
EXPERIENCED	2218	00102577a	experienced, experient	"Having experience; having knowledge or skill from observation or participation"
CONJURE	2222	00084352v	cabal, complot, conjure	Engage in plotting or enter into a conspiracy, swear together
GLARING	2228	00098545a	dazzling, glary, blazing, glaring	Shining intensely
LOVELY	2233	00106201a	lovely	Appealing to the emotions as well as the eye
BEETLE	2242	00009610n	beetle, beetles, Coleoptera	Insect having biting mouthparts and front wings modified to form horny covers overlying the membranous rear wings
REPAIR	2243	00084308v	restore, repair, doctor	Restore by replacing a part or putting together what is torn or broken
METAL	2244	00054550n	metal, metallic element	Any of several chemical elements that are usually shiny solids that conduct heat or electricity and can be formed into sheets etc.
BELCH	2245	00083364v	belch, bubble, burp	Expel gas from the stomach
BELL	2246	00009727n	bell, school bell	A hollow device made of metal that makes a ringing sound when struck
CATERPILLAR	2247	00016739n	caterpillar	A wormlike and often brightly colored and hairy or spiny larva of a butterfly or moth
PATH	2252	00061006n	path	A way especially designed for a particular use
POTION	2268	00063878n	potion	A medicinal or magical or poisonous beverage
SAGO	2270	00068832n	sago	"Powdery starch from certain sago palms; used in Asia as a food thickener and textile stiffener"
LEECH	2273	00011412n	leech, bloodsucker, hirudinean	Carnivorous or bloodsucking aquatic or terrestrial worms typically having a sucker at each end
YOUR (PLURAL)	2274	03231238n	you, y'all, you lot, Your	You is the second-person personal pronoun, both singular and plural, and both nominative and oblique case, in Modern English.
IDENTICAL	2276	00104505a	identical, indistinguishable	"Exactly alike; incapable of being perceived as different"
WHOLE	2277	00113852a	whole	"Including all components without exception; being one unit or constituting the full amount or extent or duration; complete"
SEMEN	2283	00020895n	semen, come, cum	The thick white fluid containing spermatozoa that is ejaculated by the male genital tract
CLEARING	2284	00019668n	glade, clearing	A tract of land with few or no trees in the middle of a wooded area
ECLIPSE	2285	00029648n	eclipse, occultation	One celestial body obscures another
ESTUARY	2286	00031676n	estuary	"The wide part of a river where it nears the sea; fresh and salt water mix"
HORIZON	2287	00005011n	skyline, horizon, apparent horizon	The line at which the sky and Earth appear to meet
PUDDLE	2290	00063537n	puddle, pool	A small body of standing water (rainwater) or other liquid
SUNSET	2295	00075204n	sunset, sundown	The time in the evening at which the sun begins to fall below the horizon
SUNRISE	2296	00007205n	dawn, sunrise, aurora	The first light of day
DUSK	2297	00023747n	twilight, dusk, nightfall	The time of day immediately following sunset
STRAW	2299	00017474n	chaff, husk, shuck, straw	Material consisting of seed coverings and small pieces of stem or leaves that have been separated from the seeds
ME	2301	00144977n	I (pronoun), Me (pronoun)	I is the first-person singular nominative case personal pronoun in Modern English.
THIN	2308	00111843a	thin	Of relatively small extent from one surface to the opposite or in cross section
BE ALIVE OR LIFE	3184	00083191v	live, be	Have life, be alive
BROTHER-IN-LAW	2314	14829565n	brother-in-law	Male sibling-in-law
FREE	2316	00103299a	free	"Able to act at will; not hampered; not under compulsion or restraint"
CHESTNUT	2318	00018220n	chestnut	Edible nut of any of various chestnut trees of the genus Castanea
CUNNING	2335	00097657a	sharp, astute, shrewd, cunning	Marked by practical hardheaded intelligence
SUNNY	2340	00099568a	cheery, gay, sunny	"Bright and pleasant; promoting a feeling of cheer"
CLOUDY	2341	00099899a	cloudy, overcast, clouded	Full of or covered with clouds
STEEL	2343	00074123n	steel, steel industry	"An alloy of iron with small amounts of carbon; widely used in construction; mechanical properties can be varied over a wide range"
PETROL	2344	00037384n	gasoline, gas, petrol	"A volatile flammable mixture of hydrocarbons (hexane and heptane and octane etc.) derived from petroleum; used mainly as a fuel in internal-combustion engines"
CRAB	2348	00023438n	crab	Decapod having eyes on short stalks and a broad flattened carapace with a small abdomen folded under the thorax and pincers
EARTHWORM	2350	00004136n	earthworm, angleworm, crawler	"Terrestrial worm that burrows into and helps aerate soil; often surfaces when the ground is cool or wet; used as bait by anglers"
SILKWORM	2351	00071605n	silkworm	"The commercially bred hairless white caterpillar of the domestic silkworm moth which spins a cocoon that can be processed to yield silk fiber; the principal source of commercial silk"
DRAGONFLY	2352	00025266n	dragonfly, darning needle, devil's darning needle	"Slender-bodied non-stinging insect having iridescent wings that are outspread at rest; adults and nymphs feed on mosquitoes etc."
CICADA	2353	00019052n	cicada, cicala	"Stout-bodied insect with large membranous wings; male has drum-like organs for producing a high-pitched drone"
CRICKET	2354	00023796n	cricket	"Leaping insect; male makes chirping noises by rubbing the forewings together"
GECKO	2355	00037580n	gecko	"Any of various small chiefly tropical and usually nocturnal insectivorous terrestrial lizards typically with immovable eyelids; completely harmless"
LOTUS	2359	00046444n	Nelumbo nucifera, Indian lotus, lotus	"Native to eastern Asia; widely cultivated for its large pink or white flowers"
BRAN	2362	00012734n	bran	Broken husks of the seeds of cereal grains that are separated from the flour by sifting
PEANUT	2364	00005281n	peanut, Arachis hypogaea, peanut vine	"Widely cultivated American plant cultivated in tropical and warm regions; showy yellow flowers on stalks that bend over to the soil so that seed pods ripen underground"
RADISH	2365	00065962n	radish	Pungent fleshy edible root
ONION	2366	00059006n	onion	The bulb of an onion plant
GARLIC	2368	00002165n	ail, garlic	Aromatic bulb used as seasoning
BREADFRUIT	2371	00006191n	breadfruit, Artocarpus altilis, Artocarpus communis	Native to Pacific islands and having edible fruit with a texture like bread
DREAM	2374	00028658n	dream, dreaming, Dreams	A series of mental images and emotions occurring during sleep
VERTICAL	2375	00108482a	perpendicular, vertical, upright	At right angles to the plane of the horizon or a base line
HORIZONTAL	2376	00044765n	horizontal	Something that is oriented horizontally
TURKEY	2386	00054243n	turkey, Meleagris gallopavo, wild turkey	"Large gallinaceous bird with fan-shaped tail; widely domesticated for food"
LIANA	2388	00050925n	liana	A woody climbing usually tropical plant
JOURNEY	2393	00089993v	travel, journey	Undertake a journey or trip
CHIEFTAIN	301	00018319n	chief, head, top dog	A person who is in charge
KNOCK	2396	00090129v	knock	Rap with the knuckles
PICTURE	2401	00028639n	drawing, design, figure, picture	A representation of forms or objects on a surface by means of lines
ROBIN	2402	15017134n	European robin, robin, robin redbreast	The European robin, most commonly known in Anglophone Europe simply as the robin, is a small insectivorous passerine bird, specifically a chat, that was formerly classed as a member of the thrush family, but is now considered to be an Old World flycatcher.
CHRISTMAS	2405	00018835n	Yule, Christmastide, Yuletide, Christmas	Period extending from Dec. 24 to Jan. 6
HOME	2406	00000356n	home, dwelling, abode	Where you live at a particular time
BIRTHDAY	2407	00010678n	birthday	An anniversary of the day on which a person was born (or the celebration of it)
BROWN	2409	00098942a	brown, brownish, chocolate-brown	Of a color similar to that of wood or earth
GOOD-LOOKING	2410	00098286a	good-looking, handsome, better-looking	Pleasing in appearance especially by reason of conformity to ideals of form and proportion- Thackeray- Lillian Hellman
SOMEONE	2422	00046516n	person, individual, mortal, someone	A human being
CHANNEL	2423	00017682n	channel	A passage for water (or other fluids) to flow through
MEMBER	2424	00034004n	member, fellow member	One of the persons who compose a social group (especially individuals who have joined and participate in a group organization)
PROBLEM	2425	00048242n	problem, job	A state of difficulty that needs to be resolved
CLIMATE	2426	00019780n	climate, clime	The weather in some location averaged over some long period of time
FUTURE	2427	00036941n	future, time to come, futurity	The time yet to come
LIBRARY	2428	00026386n	depository library, library, Legal deposit	A depository built to contain books and other materials for reading and study
LOGIC	2429	00051845n	logic	The branch of philosophy that analyzes inference
REVOLUTION	2431	00067568n	revolution	The overthrow of a government by those who are governed
MARRIAGE	2432	00053107n	marriage, man and wife, married couple	Two people who are married to each other
THEORY	2433	00076834n	theory	"A well-substantiated explanation of some aspect of the natural world; an organized system of accepted knowledge that applies in a variety of circumstances to explain a specific set of phenomena"
CAIMAN	2438	00014584n	caiman, cayman	A semiaquatic reptile of Central and South America that resembles an alligator but has a more heavily armored belly
CASHEW	2441	00016464n	cashew, cashew nut	Kidney-shaped nut edible only when roasted
KINGFISHER	2444	00049188n	kingfisher, Alcedines	"Nonpasserine large-headed bird with a short tail and long sharp bill; usually crested and bright-colored; feed mostly on fish"
SEVENTEEN	2453	00000034n	17, seventeen, XVII	The cardinal number that is the sum of sixteen and one
GRINDSTONE	2459	00041816n	grindstone	"A revolving stone shaped like a disk; used to grind or sharpen or polish edge tools"
DINGO	2460	00015266n	dingo, Canis dingo, warragal	Wolflike yellowish-brown wild dog of Australia
DISGUST	2465	00027570n	disgust	Strong feelings of dislike
WEIGHT	2466	00080831n	weight	The vertical force exerted by a mass as a result of gravity
BAG	2468	00007922n	bag, sack	A flexible container with a single opening
DEAR	2470	00100981a	dear, good, near	With or in a close or intimate relationship
LADY	2471	00025097n	dame, madam, gentlewoman, lady	A woman of refinement
YAK	2477	00012271n	yak, Bos grunniens, Bos mutus	Large long-haired wild ox of Tibet often domesticated
TOGETHER	2482	00117318r	together	Assembled in one place
HIDE	2486	00089332v	hide, hide out	"Be or go into hiding; keep out of sight, as for protection and safety"
MIDDAY	12	00044075n	midday, noon, noonday	The middle of the day
BOIL	2493	00083736v	boil, cook	Come to the boiling point and change from a liquid to vapor
RATTAN	2497	00014648n	rattan, Calamus rotang, rattan palm	Climbing palm of Sri Lanka and southern India remarkable for the great length of the stems which are used for malacca canes
GONG	2502	00041049n	gong, tam-tam	A percussion instrument consisting of a metal plate that is struck with a softheaded drumstick
LAUNDER	2503	00090219v	launder, wash	Cleanse with a cleaning agent, such as soap, and water
DIFFERENT	2504	00101347a	different	Unlike in nature or quality or form or degree
BEDROOM	2505	00009495n	bedroom, bedchamber, chamber	A room used primarily for sleeping
LOOSE	2506	00106171a	loose	"Not tight; not closely constrained or constricted or constricting"
DISGUSTING	2507	00101517a	disgusting, foul, yucky	"Highly offensive; arousing aversion or disgust"
PORCUPINE	2510	00043515n	porcupine, hedgehog, Porcupines	Relatively large rodents with sharp erectile bristles mingled with the fur
GIBBON	2511	00040423n	gibbon, Hylobates lar, lar gibbon	"Smallest and most perfectly anthropoid arboreal ape having long arms and no tail; of southern Asia and East Indies"
CHICK	2512	00010271n	chick, biddy	Young bird especially of domestic fowl
CARABAO	2515	00015805n	carabao	Water buffalo of the Philippines
CROWDED	2517	00100709a	crowded	Overfilled or compacted or concentrated
SCREAMING	2522	00069841n	screaming, scream, screech	Sharp piercing cry
POWER	2526	00063940n	power, powerfulness, political power	Possession of controlling influence
BLESSED	2529	02733866n	blessing, Blessings, Blessed	A blessing is the infusion of something with holiness, spiritual redemption, divine will, or one's hope or approval.
SMART	2530	00047025n	intelligence, Smart	"The ability to comprehend; to understand and profit from experience"
TORNADO	2532	00077667n	tornado, twister	A localized and violently destructive windstorm occurring over land characterized by a funnel-shaped cloud extending toward the ground
SHORE	113	00080672n	waterside	Land bordering a body of water
HERB	2542	00043776n	herb, herbaceous plant, Herbs	"A plant lacking a permanent woody stem; many are flowering garden plants or potherbs; some having medicinal properties; some are pests"
BORDER	2546	00012214n	edge, border	The boundary of a surface
CITY	2547	00019319n	metropolis, city, urban center	"A large and densely populated urban area; may include several independent administrative districts"
VEHICLE	2549	00079675n	vehicle, land vehicle	A conveyance that transports people or objects
GELD	29	00084642v	castrate, demasculinize, demasculinise	Remove the testicles of a male animal
CAPON	2567	00015682n	capon	Castrated male chicken
ALREADY	2576	00114245r	already	Prior to a specified or implied time
PENCIL	2578	00061334n	pencil	"A thin cylindrical pointed writing implement; a rod of marking substance encased in wood"
PRETZEL	2583	00064289n	pretzel	Glazed and salted cracker typically in the shape of a loose knot
GLOBE	2588	00040683n	globe	A sphere on which a map (especially of the earth) is represented
WREATH	2589	01838489n	Wreath	A wreath is an assortment of flowers, leaves, fruits, twigs or various materials that is constructed to resemble a ring.
HARMONICA	2590	00043021n	harmonica, mouth organ, mouth harp	A small rectangular free-reed instrument having a row of free reeds set back in air holes and played by blowing into the desired hole
HARP	2597	00043043n	harp	"A chordophone that has a triangular frame consisting of a sounding board and a pillar and a curved neck; the strings stretched between the neck and the soundbox are plucked with the fingers"
PYRAMID	2600	00065404n	pyramid	A polyhedron having a polygonal base and triangular sides with a common vertex
UNICORN	2601	00079075n	unicorn, Unicorns	An imaginary creature represented as a white horse with a long horn growing from its forehead
ACCORDION	2603	00000732n	accordion, piano accordion, squeeze box	"A portable box-shaped free-reed instrument; the reeds are made to vibrate by air from the bellows controlled by the player"
COMPASS	2606	00021309n	compass	Navigational instrument for finding directions
