CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	FREQUENCY_COUNT	FREQUENCY_PER_MILLION	LG10_FREQUENCY
1792	PERJURY	perjurio	84.0	2.019230769230769	1.9294189257142926
1794	FURROW	surco	30.0	0.7211538461538461	1.4913616938342726
1808	PUS	pus	66.0	1.5865384615384615	1.8260748027008262
1810	DANGER	peligro	3486.0	83.79807692307692	3.542451947375976
1820	BEAR	oso	1146.0	27.548076923076923	3.0595634179012676
1828	ASK (REQUEST)	pedir	2992.0	71.92307692307692	3.4761067168401913
1829	JUMP	saltar	1105.0	26.5625	3.043755126968679
1837	VULVA	vulva	89.0	2.1394230769230766	1.9542425094393248
1838	NAVEL	ombligo	130.0	3.125	2.117271295655764
1841	SUSPECT	sospechar	226.0	5.4326923076923075	2.3560258571931225
1845	BALL	pelota	1684.0	40.480769230769226	3.2265999052073573
1849	ROW	remar	67.0	1.6105769230769231	1.8325089127062362
1853	DOVE	paloma	255.0	6.1298076923076925	2.408239965311849
1856	SOFT	suave	1074.0	25.81730769230769	3.0314084642516237
1858	FISHERMAN	pescador	192.0	4.615384615384615	2.2855573090077734
1859	THIRD	tercero	547.0	13.149038461538462	2.738780558484369
1874	SAUSAGE	salchicha	483.0	11.610576923076923	2.6848453616444123
1888	PAIR	par	8854.0	212.83653846153845	3.9471885655260928
1891	PUMA	puma	141.0	3.3894230769230766	2.1522883443830563
1892	TOUCH	tocar	2636.0	63.36538461538461	3.421110129793434
1895	CLOTHES	ropa	6936.0	166.73076923076923	3.8411716944995318
1901	SHOVEL	pala	268.0	6.4423076923076925	2.4297522800024076
1902	BETRAY	traicionar	187.0	4.4951923076923075	2.2741578492636796
1909	SHAKE	sacudir	108.0	2.5961538461538463	2.0374264979406234
191	NUT	nuez	210.0	5.0480769230769225	2.3242824552976926
1920	DREAM (SOMETHING)	soñar	397.0	9.54326923076923	2.5998830720736876
1921	PLOUGH	surcar	7.0	0.16826923076923075	0.9030899869919434
1926	OINTMENT	ungüento	45.0	1.0817307692307692	1.6627578316815739
1936	DEER	venado	133.0	3.1971153846153846	2.1271047983648073
1941	SOLDIER	soldado	2261.0	54.35096153846154	3.354492600589436
1948	SAW	serrar	3.0	0.07211538461538461	0.6020599913279623
1966	BUNCH	racimo	4.0	0.09615384615384615	0.6989700043360187
197	OTHER	otro	29050.0	698.3173076923076	4.463161086365148
1977	DEW	rocío	102.0	2.4519230769230766	2.012837224705172
1981	WIDOWER	viudo	64.0	1.5384615384615383	1.8129133566428552
1982	WHIRLPOOL	remolino	50.0	1.2019230769230769	1.7075701760979363
1983	SNORE	roncar	27.0	0.6490384615384616	1.447158031342219
2	DUST	polvo	1530.0	36.77884615384615	3.184975190698261
2002	DITCH	zanja	115.0	2.7644230769230766	2.064457989226918
2008	RESCUE	salvar	3223.0	77.47596153846153	3.508395033133053
2009	DOG	perro	6913.0	166.1778846153846	3.839729375206388
2070	COMB (VERB)	peinar	30.0	0.7211538461538461	1.4913616938342726
210	LIFE	vida	45942.0	1104.375	4.662219350478222
2106	MALE PERSON	varón	339.0	8.149038461538462	2.531478917042255
2206	RABIES	rabia	444.0	10.673076923076923	2.648360010980931
227	FISH	pez	1119.0	26.89903846153846	3.049218022670181
228	CARVE	tallar	35.0	0.8413461538461539	1.556302500767287
232	FLEA	pulga	38.0	0.9134615384615384	1.591064607026499
237	STEPFATHER	padrastro	315.0	7.572115384615384	2.4996870826184034
24	PRAY	orar	115.0	2.7644230769230766	2.064457989226918
2440	PINEAPPLE	piña	141.0	3.3894230769230766	2.1522883443830563
