CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_SER_MEAN	LINE_IN_SOURCE
1725	CORRECT (RIGHT)	correct	1.9	1127
1727	THRESHOLD	threshold	2.4	5243
1728	ROTTEN	rotten	5.6	4219
1730	CHEEK	cheek	2.3	832
1732	SKY	sky	3.8181818181818183	4591
1733	RAINBOW	rainbow	5.3	3984
1735	TEAR (SHRED)	tear	2.8181818181818183	5170
174	PROUD	proud	3.090909090909091	3865
1740	PINE	pine	2.4	3643
1741	ABOVE	over	1.5	3445
1743	JOIN	unite	3.090909090909091	5490
1744	SPLEEN	spleen	2.909090909090909	4794
1745	HIP	hip	4.181818181818182	2415
1746	BLADDER	bladder	4.181818181818182	436
1747	CUSTOM	custom	2.3	1260
1748	RIDGE	ridge	1.6	4166
1749	TAKE	take	1.9166666666666667	5131
175	BLOW (OF WIND)	blow	3.272727272727273	480
1750	CHOOSE	chose	2.1666666666666665	871
1752	LEAVE	depart	3.6363636363636362	1365
1753	TOP	top	2.0	5323
1754	BRACELET	bracelet	3.4545454545454546	553
1756	WIDOW	widow	3.8	5734
1763	CLUB	club	4.181818181818182	960
1764	OBSCURE	obscure	2.1	3381
1766	FINISH	finish	4.818181818181818	1842
1767	SCRAPE	scrape	3.9	4356
1768	FOAM	foam	3.8181818181818183	1919
1769	AXLE	axle	2.1818181818181817	261
1772	ELK	moose	3.7	3178
1773	GRAVE	tomb	4.0	5309
1774	STINGY	stingy	2.9	4924
1775	TABLE	desk	2.6666666666666665	1383
1776	SHAME	shame	2.272727272727273	4449
1778	APPROACH	approach	2.5	167
1779	DARE	dare	1.7272727272727273	1289
178	RIPE	ripe	3.8	4179
1780	BILE	bile	2.4	416
1781	THUMB	thumb	3.2	5260
1782	GUEST	guest	1.9	2268
1783	PAIN	pain	4.181818181818182	3465
1784	WANT	wish	2.6363636363636362	5754
1787	LOOM	loom	2.4545454545454546	2914
1789	AGE	age	2.25	73
1793	BAT	bat	3.4	331
1796	SLAUGHTER	slaughter	4.909090909090909	4604
1802	SCREW	screw	2.8181818181818183	4363
1803	WOOD	log	2.75	2905
1804	BOMB	bomb	3.0	502
1806	BEGIN	start	2.5	4882
1808	PUS	pus	5.1	3920
1809	PIMPLE	pimple	5.090909090909091	3640
1810	DANGER	danger	3.4	1285
1812	TRY	try	1.9090909090909092	5434
1814	ACCUSE	accuse	2.4545454545454546	26
1815	ACHE	ache	4.818181818181818	28
1816	BESIDE	beside	1.7272727272727273	399
1817	WEST	west	2.2	5692
1819	LOOK	look	3.0	2912
182	SPOKE	spoke	2.6666666666666665	4803
1820	BEAR	bear	3.8181818181818183	348
1821	BRUSH	brush	2.4545454545454546	616
1823	BORROW	borrow	1.7272727272727273	526
1825	COPPER	copper	3.3636363636363638	1114
1826	ANGRY	angry	4.0	140
1828	ASK (REQUEST)	request	2.1818181818181817	4110
183	BAKE	bake	4.25	276
1831	MEET	meet	1.8	3063
1833	DINNER (SUPPER)	supper	5.0	5045
1834	SHE	she	1.6	4459
1835	MARROW	marrow	2.8181818181818183	3014
1838	NAVEL	navel	3.272727272727273	3280
1839	CRY	weep	3.3636363636363638	5678
184	MAST	mast	2.1818181818181817	3029
1840	BUILD	build	2.4545454545454546	634
1841	SUSPECT	suspect	2.1818181818181817	5065
1843	THOUSAND	thousand	2.6363636363636362	5237
1844	BOAT	boat	3.090909090909091	493
1845	BALL	sphere	2.4	4776
1846	RULE	rule	1.6363636363636365	4244
1847	SICK	ill	3.1818181818181817	2534
1848	QUARREL	quarrel	3.7	3939
185	FIREPLACE	hearth	1.7272727272727273	2362
1850	COTTON	cotton	3.909090909090909	1138
1851	POCKET	pocket	2.5	3712
1853	DOVE	pigeon	3.8	3629
1854	SPARROW	sparrow	2.5454545454545454	4754
1855	BIRCH	birch	2.1818181818181817	424
1856	SOFT	soft	4.6	4703
1859	THIRD	third	1.7272727272727273	5228
186	SHIN	shin	3.1818181818181817	4481
1860	BEAD	bead	1.4545454545454546	345
1861	ACTIVE	active	3.6363636363636362	37
1862	DONKEY	donkey	3.8	1497
1864	HUNGER	hunger	5.545454545454546	2502
1865	BUZZARD	buzzard	3.8181818181818183	684
1867	COIN	coin	2.5	990
1869	BUY	buy	2.3636363636363638	682
1870	ANCHOR	anchor	5.2	132
