CONCEPTICON_ID	CONCEPTICON_GLOSS	GERMAN	GERMAN_HAPPINESS_MEAN	GERMAN_ANGER_MEAN	GERMAN_SADNESS_MEAN	GERMAN_FEAR_MEAN	GERMAN_DISGUST_MEAN	GERMAN_EMOTION_DOMINANT	LINE_IN_SOURCE
649	PASTURE	weide	2.782608695652174	1.173913043478261	1.5217391304347827		1.2608695652173914	HAP	1863
655	POISON	gift	1.0476190476190477	2.4285714285714284	2.238095238095238		3.4761904761904763	FEA	582
657	PRICE	preis	2.2916666666666665	2.2083333333333335	1.7916666666666667		1.7083333333333333	HAP	1303
658	RAIN (PRECIPITATION)	regen	3.0	2.1363636363636362	1.5454545454545454		1.2272727272727273	HAP	1367
662	BATTERY	batterie	1.15	1.05	1.0		1.05	HAP	185
665	BEE	biene	2.6	1.75	1.45		2.3	HAP	231
667	ROAD	straße	1.7142857142857142	1.1904761904761905	1.0		1.1904761904761905	HAP	1614
671	SAND	sand	3.4761904761904763	1.2380952380952381	1.2857142857142858		1.3333333333333333	HAP	1435
682	SIDE	seite	1.7083333333333333	1.0416666666666667	1.1666666666666667		1.0833333333333333	HAP	1521
683	PERSON	mensch	2.619047619047619	1.619047619047619	1.3333333333333333		1.5714285714285714	HAP	1038
72	CLAW	klaue	1.7083333333333333	1.5	1.2916666666666667		2.4166666666666665	FEA	784
735	OWL	eule	3.0	1.0	1.6		1.65	HAP	413
738	THING	ding	1.75	1.5	1.15		1.25	HAP	328
740	SHIP	schiff	2.6363636363636362	1.0454545454545454	1.1818181818181819		1.5	HAP	1464
742	END (OF SPACE)	ende	1.7619047619047619	1.7619047619047619	2.8095238095238093		2.4285714285714284	SAD	384
745	SHELF	regal	1.92	1.16	1.0		1.0	HAP	1365
747	BICYCLE	fahrrad	2.7	1.05	1.05		1.05	HAP	425
758	HERON	reiher	2.1	1.15	1.05		1.15	HAP	1377
759	SILVER	silber	2.6666666666666665	1.0	1.0952380952380953		1.0	HAP	1536
772	BELT	gürtel	1.625	1.1666666666666667	1.0833333333333333		1.25	HAP	613
777	FLUTE	flöte	2.238095238095238	1.5714285714285714	1.4761904761904763		1.1904761904761905	HAP	477
779	PART	teil	1.75	1.1	1.05		1.1	HAP	1658
783	VICTORY	sieg	3.4347826086956523	2.0	1.6521739130434783		2.0	HAP	1531
784	SNOW	schnee	3.380952380952381	1.4285714285714286	1.0952380952380953		1.3333333333333333	HAP	1486
789	PEOPLE	leute	2.3043478260869565	1.608695652173913	1.391304347826087		1.826086956521739	HAP	920
