CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_SOUND_MEAN	ENGLISH_COLOR_MEAN	ENGLISH_MANIPULATION_MEAN	ENGLISH_MOTION_MEAN	ENGLISH_EMOTION_MEAN	LINE_IN_SOURCE
1917	TIE	tie	0.38	2.53	3.09	0.87	0.45	1260
1934	BEGGAR	beggar	3.09	0.85	1.75	2.50	-2.67	109
1936	DEER	deer	1.40	3.56	1.95	3.71	1.00	358
194	FAMILY	family	3.02	1.19	1.95	2.67	4.58	446
1941	SOLDIER	soldier	3.42	1.90	2.85	4.00	-0.15	1160
1943	CROWN (OF HEAD)	crown	0.18	4.45	3.08	0.36	2.64	332
1961	NECKLACE	necklace	0.38	3.00	2.50	0.51	2.29	850
1970	CANOE	canoe	2.00	1.62	2.69	3.00	1.62	215
1971	FAN (OBJECT)	fan	3.17	1.70	2.50	2.86	2.18	447
1972	YOUNG GOAT (KID)	kid	3.73	2.21	2.74	3.92	3.27	693
1977	DEW	dew	0.29	1.23	0.86	0.18	1.85	366
1979	CHISEL	chisel	3.00	0.82	3.77	1.50	-0.08	261
1989	CALF	calf	2.35	2.52	1.66	2.56	0.96	203
2002	DITCH	ditch	0.60	1.00	1.67	0.00	-1.17	376
2007	BOLT (OF LIGHTNING)	bolt	1.86	2.02	2.84	2.10	-0.80	142
2009	DOG	dog	4.28	3.54	2.35	3.86	3.40	381
201	FARM	farm	3.62	2.98	2.98	1.68	1.22	449
2011	COFFIN	coffin	0.73	1.67	2.08	0.38	-4.73	295
2012	COLLAR	collar	0.36	1.40	2.54	0.33	-0.08	297
2016	JEALOUSY	jealousy	0.50	1.44	2.24	0.84	-4.45	669
2024	PLOT	plot	0.74	0.17	2.12	0.77	0.00	959
2025	PEA	pea	0.09	4.74	2.40	0.22	0.23	913
2034	FROST	frost	0.45	2.27	1.08	0.30	-0.09	509
2035	POND	pond	1.80	3.20	1.64	1.64	2.64	967
2042	WALNUT	walnut	0.64	3.31	2.00	0.29	0.25	1343
2043	PEACH	peach	0.58	4.77	2.55	0.33	2.33	915
2052	BUCKET	bucket	1.00	1.00	2.17	0.45	-0.82	177
206	FIREFLY	firefly	0.84	4.50	1.09	3.04	2.14	473
208	NASAL MUCUS (SNOT)	mucus	0.36	2.36	1.25	1.10	-3.17	830
2099	CHILD	child	3.92	2.29	3.00	4.25	3.27	254
2137	MAGICIAN	magician	2.27	2.85	2.52	2.56	1.77	767
2149	CHOP (INTO PIECES)	chop	4.20	0.64	1.38	2.15	-0.75	264
216	MOVIE	movie	4.40	2.08	3.15	1.42	2.45	829
219	TOILET	toilet	3.69	1.50	3.31	0.83	-0.25	1270
221	FIRE	fire	2.82	4.85	3.15	2.92	-0.83	472
2245	BELCH	belch	4.75	0.23	2.23	1.42	-1.30	110
2246	BELL	bell	4.88	2.42	2.98	1.76	1.18	112
2259	FLESH	flesh	0.50	2.92	2.36	1.00	-2.33	485
227	FISH	fish	1.33	2.58	2.00	3.08	0.33	477
2277	WHOLE	whole	0.31	0.33	0.88	0.30	1.06	1362
2290	PUDDLE	puddle	2.42	2.58	1.00	0.45	0.31	993
2291	VOLCANO	volcano	4.52	4.79	1.29	3.32	-1.24	1338
2295	SUNSET	sunset	0.19	5.37	0.47	1.54	4.53	1220
2297	DUSK	dusk	0.45	4.40	0.43	0.27	1.55	406
2299	STRAW	straw	1.00	2.82	3.07	0.38	1.00	1203
2318	CHESTNUT	chestnut	0.50	3.63	1.82	0.28	0.44	252
2319	LID (COVER, CAP)	lid	0.90	1.28	3.09	0.45	0.09	737
232	FLEA	flea	0.77	2.27	1.92	2.45	-3.09	484
2348	CRAB	crab	1.29	4.35	0.77	2.58	-0.60	320
2349	SHRIMP	shrimp	0.30	3.93	2.11	1.72	1.07	1120
2350	EARTHWORM	earthworm	0.24	2.64	1.29	1.85	-0.50	411
2354	CRICKET	cricket	4.27	3.00	1.17	2.33	0.47	327
2355	GECKO	gecko	0.76	4.25	0.87	2.89	0.32	528
2365	RADISH	radish	0.09	4.44	1.86	0.08	-0.40	1016
2366	ONION	onion	0.58	2.91	2.85	0.31	-0.91	876
2367	MANDARINE	tangerine	0.26	4.94	1.68	0.08	2.14	1234
2368	GARLIC	garlic	0.46	2.00	2.00	0.25	-0.46	523
239	FLOWER	flower	0.24	5.28	2.10	1.03	3.83	488
