ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SEMANTIC_CLASS_ID	CATEGORY	TARGET_CONCEPTS	LINKED_CONCEPTS
Urban-2011-160-110	110	1730	CHEEK	cheek	III	Body Parts and Body Fluids	"[{""ID"": ""Urban-2011-160-108"", ""NAME"": ""buttocks"", ""OvertMarking"": 3, ""IndoAryanShift"": 0, ""ShiftID"": 32}]"	"[{""ID"": ""Urban-2011-160-108"", ""NAME"": ""buttocks"", ""Polysemy"": 2, ""ShiftID"": 32}, {""ID"": ""Urban-2011-160-125"", ""NAME"": ""mouth"", ""Polysemy"": 2, ""ShiftID"": 33}]"
Urban-2011-160-111	111	1510	CHIN	chin	III	Body Parts and Body Fluids	[]	[]
Urban-2011-160-112	112	3807	EYEBALL	eyeball	III	Body Parts and Body Fluids	[]	[]
Urban-2011-160-113	113	1173	EYEBROW	eyebrow	III	Body Parts and Body Fluids	[]	[]
Urban-2011-160-114	114	1540	EYELASH	eyelash	III	Body Parts and Body Fluids	[]	[]
Urban-2011-160-115	115	17	EYELID	eyelid	III	Body Parts and Body Fluids	[]	[]
Urban-2011-160-116	116	1303	FINGER	finger	III	Body Parts and Body Fluids	[]	[]
Urban-2011-160-117	117	1258	FINGERNAIL	fingernail	III	Body Parts and Body Fluids	[]	[]
Urban-2011-160-118	118	1334	GUTS	guts	III	Body Parts and Body Fluids	[]	[]
Urban-2011-160-119	119	1223	HEART	heart	III	Body Parts and Body Fluids	"[{""ID"": ""Urban-2011-160-102"", ""NAME"": ""belly/stomach"", ""OvertMarking"": 2, ""IndoAryanShift"": 1, ""ShiftID"": 23}, {""ID"": ""Urban-2011-160-121"", ""NAME"": ""kidney"", ""OvertMarking"": 3, ""IndoAryanShift"": 1, ""ShiftID"": 27}, {""ID"": ""Urban-2011-160-124"", ""NAME"": ""lungs"", ""OvertMarking"": 3, ""IndoAryanShift"": 1, ""ShiftID"": 29}]"	"[{""ID"": ""Urban-2011-160-102"", ""NAME"": ""belly/stomach"", ""Polysemy"": 7, ""ShiftID"": 23}, {""ID"": ""Urban-2011-160-121"", ""NAME"": ""kidney"", ""Polysemy"": 3, ""ShiftID"": 27}, {""ID"": ""Urban-2011-160-124"", ""NAME"": ""lungs"", ""Polysemy"": 2, ""ShiftID"": 29}]"
Urban-2011-160-120	120	798	JAW	jaw	III	Body Parts and Body Fluids	"[{""ID"": ""Urban-2011-160-144"", ""NAME"": ""tooth"", ""OvertMarking"": 0, ""IndoAryanShift"": 1, ""ShiftID"": ""30""}]"	"[{""ID"": ""Urban-2011-160-144"", ""NAME"": ""tooth"", ""Polysemy"": 2, ""ShiftID"": 30}]"
Urban-2011-160-121	121	489	KIDNEY	kidney	III	Body Parts and Body Fluids	"[{""ID"": ""Urban-2011-160-119"", ""NAME"": ""heart"", ""OvertMarking"": 0, ""IndoAryanShift"": 1, ""ShiftID"": ""27""}]"	"[{""ID"": ""Urban-2011-160-119"", ""NAME"": ""heart"", ""Polysemy"": 3, ""ShiftID"": 27}]"
Urban-2011-160-122	122	478	LIP	lip	III	Body Parts and Body Fluids	[]	"[{""ID"": ""Urban-2011-160-125"", ""NAME"": ""mouth"", ""Polysemy"": 16, ""ShiftID"": 21}]"
Urban-2011-160-123	123	1224	LIVER	liver	III	Body Parts and Body Fluids	"[{""ID"": ""Urban-2011-160-124"", ""NAME"": ""lungs"", ""OvertMarking"": 9, ""IndoAryanShift"": 0, ""ShiftID"": 25}]"	"[{""ID"": ""Urban-2011-160-124"", ""NAME"": ""lungs"", ""Polysemy"": 4, ""ShiftID"": 25}]"
