CONCEPTICON_ID	CONCEPTICON_GLOSS	FRENCH	FRENCH_RT_MEAN	FRENCH_RT_ZSCORE	LINE_IN_SOURCE
321	CHEW	mâcher	613.48	-0.634427989757337	21930
3212	HOPE (SOMETHING)	espérer	598.958333333333	-0.509733922836261	14501
3213	HIRE OR RENT	louer	629.458333333333	-0.57311755666726	21786
3217	TIN OR TINPLATE	étain	717.952380952381	-0.176789100976328	14655
322	FIG	figue	715.04347826087	-0.082297251735822	16058
3224	WRING	essorer	864.863636363636	0.637010505718304	14579
323	FAT (ORGANIC SUBSTANCE)	graisse	668.583333333333	-0.19356589336667	17904
3235	OPEN (STATE)	ouvert	607.869565217391	-0.77775913892438	25186
3237	ALLOW OR PERMIT	permettre	734.347826086957	-0.133751335951092	26358
325	FELT	feutre	623.0	-0.333489558111113	15976
3251	MOLD (GET ROTTEN)	moisissure	864.521739130435	0.872595754135453	23428
3255	POINT (POINTED END)	pointe	607.64	-0.576558156636042	27217
3257	CLITORIS	clitoris	776.238095238095	0.540715630459763	6688
326	CLOAK	cape	671.416666666667	-0.286175895497537	5359
3268	QUESTION	demande	588.416666666667	-0.839702039912033	10134
3274	ENCIRCLE	entourer	725.28	-0.112851844085399	13899
3282	GROOM	marié	630.619047619048	-0.460387090421423	22387
3284	GRAVEYARD	cimetière	626.56	-0.497746290969686	6478
3300	POLITE	poli	705.423076923077	-0.197642036764357	27273
3313	JACKAL	chacal	810.0	0.219122930514918	5818
332	RAG	chiffon	680.08	-0.369092187004997	6297
3333	BELIEF (RELIGIOUS)	croyance	602.318181818182	-0.678405414784702	9015
3336	FUNERAL	funérailles	662.916666666667	-0.179988857011154	17121
334	COOKHOUSE	cuisine	622.041666666667	-0.619085476056346	9087
3349	WRISTWATCH	montre	649.08	-0.439074815826183	23562
3357	CUPBOARD	placard	610.04	-0.548864853208513	26870
336	PADLOCK	cadenas	789.95652173913	0.133605723517354	5084
338	RAKE	râteau	640.95652173913	-0.451881936346781	29506
3405	RULER	règle	622.28	-0.620370305757096	30414
341	SICKLE	faucille	817.142857142857	0.408857730265572	15745
3416	EVERY (EACH)	chaque	650.545454545455	-0.269262127105766	5982
342	HAY	foin	657.333333333333	-0.3962916483036	16411
3425	JOKE	blague	571.877551020408	-0.855879907044374	4087
343	VINE	liane	770.363636363636	0.268983631655326	21469
