CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	VALENCE_LANGUAGE_OMEGAWIKI_NRCVAD	AROUSAL_LANGUAGE_OMEGAWIKI_NRCVAD	DOMINANCE_LANGUAGE_OMEGAWIKI_NRCVAD	VALENCE_LANGUAGE_FAMILY_OMEGAWIKI_NRCVAD	AROUSAL_LANGUAGE_FAMILY_OMEGAWIKI_NRCVAD	DOMINANCE_LANGUAGE_FAMILY_OMEGAWIKI_NRCVAD	VALENCE_MEAN_OMEGAWIKI_NRCVAD	AROUSAL_MEAN_OMEGAWIKI_NRCVAD	DOMINANCE_MEAN_OMEGAWIKI_NRCVAD	LINE_IN_SOURCE
126	SWEAT (PERSPIRE)	perspire	0.386702702702703	0.617054054054054	0.380459459459459	0.386764705882353	0.615235294117647	0.376470588235294	0.386714285714286	0.616714285714286	0.379714285714286	3372
1261	SING	sing	0.854	0.413	0.5	0.854	0.413	0.5	0.854	0.413	0.5	3028
1262	BROTHER	brother	0.702409007199062	0.362515653775322	0.533888079691947	0.67525	0.37425	0.519555555555556	0.672187499999998	0.365374999999999	0.523833333333332	1390
1263	SISTER	sister	0.610489510489511	0.30013986013986	0.46544055944056	0.591833333333333	0.250333333333333	0.451166666666667	0.63775	0.3005	0.47375	6614
1264	CHANGE	change	0.510625	0.558857142857143	0.586821428571429	0.5165	0.560055555555556	0.589055555555556	0.497909090909091	0.559545454545455	0.593090909090909	768
1265	HIGH	high	0.572358024691358	0.366320987654321	0.472086419753086	0.572166666666667	0.366541666666667	0.460333333333333	0.576619047619048	0.36847619047619	0.44852380952381	1446
1267	NARROW	narrow	0.588037037037037	0.372981481481482	0.43662962962963	0.582555555555556	0.371055555555556	0.432777777777778	0.582555555555556	0.371055555555556	0.432777777777778	756
127	EXTINGUISH	extinguish	0.254002298850575	0.51260367816092	0.470308045977012	0.245982216142271	0.496850889192886	0.449035567715458	0.246400673400673	0.49652861952862	0.456309764309764	1963
1271	DELIGHT	gratify	0.735766666666526	0.389471428571348	0.539499999999887	0.736438271604933	0.389376543209874	0.539098765432095	0.737260869565217	0.389	0.538521739130435	796
1273	CANDLE	candle	0.635090909090909	0.238818181818182	0.372363636363636	0.662666666666667	0.253666666666667	0.396	0.662666666666667	0.253666666666667	0.396	343
1274	SALT	salt	0.355	0.4524	0.2976	0.3605	0.4655	0.296	0.3605	0.4655	0.296	2029
1275	ANSWER	reply	0.606236842105263	0.388289473684211	0.605105263157895	0.602727272727273	0.385727272727273	0.609727272727273	0.605625	0.39225	0.6015	799
1277	HAND	hand	0.63804	0.41724	0.48376	0.6429	0.4018	0.4573	0.646125	0.431375	0.471875	2014
1280	FALL	fall	0.367618421052632	0.545677631578947	0.398121710526316	0.362479166666667	0.545291666666667	0.404770833333333	0.365363636363636	0.542969696969697	0.388606060606061	3637
1281	PRISON	jail	0.131294117647059	0.668882352941176	0.485	0.135428571428571	0.667142857142857	0.483714285714286	0.194	0.6425	0.4655	3642
1283	TODAY	today	0.68	0.346	0.4	0.68	0.346	0.4	0.68	0.346	0.4	6620
1284	BANK	bank	0.712223529411765	0.431929411764706	0.669823529411765	0.725933333333333	0.423266666666667	0.685	0.669485714285714	0.426628571428571	0.640142857142857	2131
1285	IMPORTANT	important	0.818666666666667	0.628666666666667	0.794666666666667	0.818666666666667	0.628666666666667	0.794666666666667	0.8145	0.6185	0.799	3701
1286	HOT	hot	0.709726797385621	0.648508496732026	0.620870588235294	0.721493506493507	0.663077922077922	0.641051948051948	0.734589285714286	0.686303571428571	0.666035714285714	292
1287	COLD	cold	0.659222222222222	0.402833333333333	0.5505	0.5896	0.3856	0.5066	0.5896	0.3856	0.5066	127
1288	CAP	cap	0.604	0.183	0.353	0.604	0.183	0.353	0.604	0.183	0.353	2995
1289	BABY	infant	0.861333333333333	0.443111111111111	0.435333333333333	0.88025	0.45525	0.42625	0.869666666666667	0.453666666666667	0.430666666666667	4637
129	CHOKE	choke	0.367714285714286	0.823	0.627	0.3335	0.836	0.6145	0.3335	0.836	0.6145	4490
1290	ELEPHANT	elephant	0.594	0.184	0.725	0.594	0.184	0.725	0.594	0.184	0.725	5221
1291	BACK	back	0.469140350877193	0.476333333333333	0.493859649122807	0.465633333333333	0.470366666666667	0.494066666666667	0.473037037037037	0.482962962962963	0.49362962962963	814
1292	BAD	bad	0.165697297297297	0.600381081081081	0.337391891891892	0.192955555555556	0.576318518518518	0.323148148148148	0.198223076923077	0.567869230769231	0.299461538461538	815
1293	MISTAKE	error	0.181565217391304	0.529608695652174	0.280217391304348	0.155846153846154	0.548307692307692	0.286	0.1704	0.5338	0.2962	816
1295	STICK	stick	0.5705	0.319	0.5045	0.628666666666667	0.304	0.545333333333333	0.5705	0.319	0.5045	3478
1296	WALKING STICK	walking stick	0.396	0.364	0.382	0.396	0.364	0.382	0.396	0.364	0.382	6525
1297	LEG	leg	0.492738095238095	0.320440476190476	0.299178571428571	0.492285714285714	0.316642857142857	0.299642857142857	0.4996	0.3507	0.3623	2413
1298	NEWSPAPER	newspaper	0.635681818181818	0.327863636363636	0.494818181818182	0.640875	0.324875	0.49225	0.640875	0.324875	0.49225	828
13	DECEIT	deception	0.0886	0.701	0.3868	0.0886	0.701	0.3868	0.0886	0.701	0.3868	2480
