CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_OCCURRENCES_TOTAL	ENGLISH_OCCURRENCES_NUM	ENGLISH_AOA_MEAN	ENGLISH_DUNNO	LINE_IN_SOURCE
1462	POT	pot	19	19	5.95	1	20896
1463	DRUNK	drunk	19	19	9.26	1	8434
1464	LADDER	ladder	21	21	4.39937	1	15327
1465	BOX	box	20	20	4.3	1	3160
1466	EXACT	exact	19	19	8.16	1	9513
1467	CIRCLE	circle	18	18	3.67	1	4729
1468	LOOK FOR	search	18	18	8.72	1	24146
1469	WEEK	week	18	18	5.11	1	30429
1470	FOLD	fold	19	19	4.95	1	10666
1471	WINTER	winter	21	21	4.38	1	30736
1472	KEY	key	19	19	3.58	1	15105
1473	FIST	fist	19	19	4.58	1	10385
1474	SEA	sea	19	19	4.74	1	24118
1475	COMB	comb	18	18	5.5	1	5206
1476	CHAIR	chair	21	21	3.43	1	4325
1477	KEEP	keep	19	19	4.42	1	15085
1478	WITHOUT	without	20	20	6.53077	1	30782
1479	DOLPHIN	dolphin	19	19	6.05	1	8164
1480	BODY	body	18	18	4.28	1	2942
1481	HAMMER	hammer	19	19	5.42	1	12345
1482	SHOULDER	shoulder	18	18	4.5	1	24663
1483	NINE	nine	21	21	3.2271	1	18224
1484	OIL (ORGANIC SUBSTANCE)	oil	21	21	7.33	1	18742
1485	BELOW OR UNDER	below	20	20	5.838065000000001	1	2413
1487	POUR	pour	18	18	5	1	20934
1488	FAUCET	tap	19	19	5.84	1	27104
1489	CLOUD	cloud	19	19	3.63	1	4943
149	ITCHY	itchy	19	19	5.16	1	14796
1490	RAT	rat	18	18	5.11	1	22144
1491	MOUSE	mouse	18	18	4.94	1	17652
1492	DUMB	dumb	18	18	4.5	1	8485
1493	ONE	one	22	22	3.2271	1	18790
1494	DIE	die	19	19	4.53	1	7544
1495	HAPPY	happy	18	18	2.72	1	12426
1496	GRANDMOTHER	grandmother	21	21	3.67	1	11896
1497	POSTCARD	postcard	19	19	6.74	1	20859
