CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_RT_MEAN	ENGLISH_RT_ZSCORE	ENGLISH_ACCURACY_PERCENTAGE	LINE_IN_SOURCE
602	HIDE (CONCEAL)	conceal	599.222222222222	-0.355516127544857	0.973684210526316	31968
603	COAT	coat	520.444444444444	-0.741731477333737	0.973684210526316	31688
604	GLASS	glass	508.789473684211	-0.842517634448527	1.0	37353
605	GRAIN	grains	603.771428571429	-0.277130340343732	0.947368421052632	37669
606	GRASS	grass	520.575	-0.749944908929523	1.0	37730
608	GULF	gulf	599.657894736842	-0.276924414714995	1.0	38064
609	HAIL	hail	589.189189189189	-0.398575372572982	0.973684210526316	38196
610	PORT	port	541.378378378378	-0.532346536890462	0.925	45205
611	HARVEST	crop	540.315789473684	-0.553217234000622	1.0	32766
612	HEAT	heat	517.710526315789	-0.761164905507557	1.0	38649
613	HIGH TIDE	flood	514.675	-0.695114304632301	1.0	36067
614	HILL	hill	514.27027027027	-0.766510397545136	0.973684210526316	38856
615	HORSE	horse	510.55	-0.823616303833652	1.0	39118
617	ICE	ice	494.631578947368	-0.918220784931759	1.0	39386
620	INSECT	insect	552.1	-0.525402704879996	1.0	39634
621	IRON	brand	560.638888888889	-0.517372577329895	0.947368421052632	29644
622	ISLAND	island	529.459459459459	-0.6292090470317	0.95	39739
623	LAGOON	lagoon	602.75	-0.12755904986591	0.9	40439
624	LAKE	lake	548.605263157895	-0.550811224485323	1.0	40448
625	LAMP	lamp	533.054054054054	-0.683685470334534	0.973684210526316	40474
626	LAND	land	551.25641025641	-0.562116797720129	1.0	40495
628	LEAF	leaf	518.710526315789	-0.692285170313312	0.975	40695
629	LEATHER	leather	550.416666666667	-0.453990403728457	0.947368421052632	40747
63	RUMOUR	rumour	591.78947368421	-0.300804740868463	0.975	47559
630	LIGHT (RADIATION)	daylight	540.052631578947	-0.592068473048955	1.0	33268
631	LIVESTOCK	livestock	666.257142857143	0.177813633394529	0.921052631578947	41114
632	LIZARD	lizard	548.405405405405	-0.575545198654087	1.0	41118
633	MARKET	market	520.975	-0.656580678160908	1.0	41744
634	MEAT	meat	517.820512820513	-0.752594067680921	0.975	41940
635	MILK	milk	566.473684210526	-0.474860199394845	0.975	42166
