CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	CROATIAN	CROATIAN_HAPPINESS_MEAN	CROATIAN_ANGER_MEAN	CROATIAN_SADNESS_MEAN	CROATIAN_FEAR_MEAN	CROATIAN_DISGUST_MEAN	LINE_IN_SOURCE
1475	COMB	comb	češalj	2.05	1.18181818181818	1.14285714285714	1	1.14285714285714	210
1476	CHAIR	chair	stolica	2	1.14285714285714	1.05	1.3	1.1	2383
1477	KEEP	to keep	sačuvati	3.15	1	1.35	1.04761904761905	1.0952380952381	2096
1479	DOLPHIN	dolphin	dupin	3.4	1.05	1.1	1.1	1.05	387
1480	BODY	body	tijelo	2.47619047619048	1.28571428571429	1.15	1.15	1.25	2520
1481	HAMMER	hammer	čekić	2.15	1.40909090909091	1.14285714285714	1.5	1.1	204
1484	OIL (ORGANIC SUBSTANCE)	oil	ulje	2.35	1	1.25	1.45	1.25	2647
1489	CLOUD	clouds	oblaci	3.0952380952381	1.1	1.2	1	1.04347826086957	1339
1490	RAT	rat	štakor	1.45	1.68181818181818	1.95238095238095	2.3	2.9047619047619	2349
1491	MOUSE	mouse	miš	2.3	1.2	1.45	1.55	1.9	1098
1492	DUMB	dumb	blesav	2.18181818181818	1.95238095238095	1.05	1.3	1.38095238095238	129
1495	HAPPY	happy	raspoložen	3.71428571428571	1	1.25	1.1	1	1980
1496	GRANDMOTHER	grandmother	baka	3.95	1.05	2.1	1	1.15	77
1499	JUICE	juice	sok	3.19047619047619	1.14285714285714	1.1	1	1.1	2298
15	OTTER	otter	vidra	2.9	1.1	1	1.25	1.25	2780
150	WORRY	to worry	brinuti	2.2	1.45	2.15	1.55	1.41935483870968	168
1507	FRUIT	fruit	voće	3.85	1	1.15	1	1.0952380952381	2810
1508	KING	king	kralj	2.33333333333333	1.1	1.3	1.1	1.17391304347826	864
1509	MOSQUITO	mosquito	komarac	1.25	2.65	1.5	1.85	2.05	814
151	RAZOR	razor	britva	2.05	1.3	1.55	2.1	1.65	169
1517	WASP	wasp	osa	1.5	1.86363636363636	1.38095238095238	2.3	1.38095238095238	1457
1518	STUPID	stupid	glup	1.52380952380952	2.19047619047619	2.15	1.7	1.5	493
1522	SOCK	sock	čarapa	1.85	1.04545454545455	1.28571428571429	1	1.19047619047619	195
1523	FORGET	to forget	zaboraviti	1.65	2.05	2.45	1.6	2.1	2855
1524	WINE	wine	vino	3.6	1.3	1.35	1.45	1.05263157894737	2786
1525	COAST	coast	obala	3.3	1.05	1.25	1	1	1330
1527	TICK	tick	krpelj	1.2	2.6	1.9	2.55	3.5	893
1528	FORGIVE	to forgive	oprostiti	3.75	1.3	1.6	1.3	1.05263157894737	1436
1530	BOWL	bowl	zdjela	2.65	1.18181818181818	1.04761904761905	1.04166666666667	1.05263157894737	2945
1532	SHEAR	to shear	skijati	3.2	1.05	1.25	1.5	1.05	2219
1533	BE HUNGRY	hungry	gladan	1.42857142857143	1.45	2.4	1.55	1.5	476
1534	FEVER	fever	vrućica	1.1	2.5	2.45	1.85	2.75	2847
1535	SWORD	sword	mač	2.2	1.5	1.42857142857143	1.58333333333333	1.35	1019
1536	UNDERSTAND	to understand	razumjeti	3.15	1.15	1.4	1.4	1.45	2017
1537	SPRINGTIME	spring	mol	3.22222222222222	1.28571428571429	1.23809523809524	1.17391304347826	1.3	1128
1538	SCORPION	scorpion	škorpion	2.15	1.35	1.3	2.0952380952381	1.85714285714286	2225
1539	BASKET	basket	košara	2.4	1.25	1.2	1.1	1.12903225806452	851
1543	SNAIL	snail	puž	2.3	1.2	1.25	1.25	1.45	1956
1545	HOST	host	domaćin	3.05	1.36363636363636	1.04761904761905	1	1.1	355
1548	UGLY	ugly	ružan	1.55	1.90909090909091	2.14285714285714	1.55	1.95238095238095	2094
1552	GLOOMY	gloomy	sumoran	1.38888888888889	1.84210526315789	1.82352941176471	1.7	1.42105263157895	2427
1554	MAN	man	muškarac	1.95	1.5	1.47619047619048	1.35	1.19047619047619	1169
1555	CHAMELEON	chameleon	kameleon	2.42857142857143	1.05	1.3	1.35	1.21739130434783	727
1558	SIMILAR	similar	sličan	2.1	1.18181818181818	1.3	1.34782608695652	1.3	2245
1559	MONEY	money	novac	3.57142857142857	1.85714285714286	1.25	1.75	1.2	1320
156	RED	red	crven	2.2	1.59090909090909	1.7	1.34782608695652	1.05	249
1560	FACE	face	lice	2.7	1.18181818181818	1.3	1.1	1.0952380952381	957
1561	ARMY	army	vojska	2	1.85	2	2	2.05	2820
1562	MIND	mind	um	2.8	1.1	1.1	1.05	1.19354838709677	2650
1563	PYTHON	python	piton	1.8	1.73684210526316	1.85	2.55	2.3	1588
1564	LAZY	lazy	lijen	1.45	2.13636363636364	2.04761904761905	1.4	1.47619047619048	962
1565	HEAVEN	heaven	nebesa	2.8	1.25	1.55	1.35	1.3	1237
1566	GUN	gun	puška	2.05	2.3	2.4	2.45	1.8	1948
